sample_id,split,label,sha256
cifar10_train_6684,Train,cat,bf1d348947046861c6c7c8d0d22c3b06f48ae40418e7e0b44703952361497db5
cifar10_train_26482,Train,cat,512ba525a5a9b0e00c8de419b749ded0ed24a5fbf90d09e7bd5a5e27d9ec41b4
cifar10_train_12013,Train,cat,9611e1eefd2bd2c18a24784822a40fdf745990bab2f648d7d59ba4bf7d73c7e0
cifar10_train_31136,Train,cat,91eb0641983fdbbdd662708ce4485d7b15280bdacb667f42da6fac8088cb6529
cifar10_train_22512,Train,cat,fa24d40f3f7de341538c859bbbf0f19833527303a590652137d7f3ea0feb5bce
cifar10_train_40870,Train,cat,89a4ed645e5354ad669c255cc097bc2ebe26ea7f0b3b6dddcb3aafc37e982945
cifar10_train_3447,Train,cat,c724d2b3eb55a293f265d390c209d4ab66612620df8d711d2a7c00b23d152169
cifar10_train_16787,Train,cat,78408990a9eda640d9f7b6b3a55738bd591ccab0e3f99fccc9bbe3939adaec48
cifar10_train_28419,Train,cat,d0a4789d855bc4e0a2ee49ddf7766483944f1a00d031cd4029a557aecab2ce44
cifar10_train_26688,Train,cat,feda583a2d0f93078dfa720b402c78bab1e03453462178cd150f0e8fbca8d03c
cifar10_train_47586,Train,cat,1da3cff409ede1f899592e02d97c7a03ca03acb92024a1e54fedc66a97476232
cifar10_train_3927,Train,cat,413747bd9a368fd364f62431df7e0a3f44869e5406aca53d78fa5cf13bc12718
cifar10_train_29662,Train,cat,08503e61f61f5c90301ecc9d72011aab10a9b2f929aa4719f04ee4ddcc70868b
cifar10_train_49975,Train,cat,44f257bd5b4feac71415e745752cd20b041f37b0c63de2fc0664f2f8c5212a2a
cifar10_train_34851,Train,cat,a0e2ba2feaa9117bf8516cf8925e81be4aaa494c7bea173cbddce33288882251
cifar10_train_14817,Train,cat,d3b7cd967cbd793517621340d6369bc7c9329095274ea6fa77cacdc60888a6bd
cifar10_train_35811,Train,deer,fac313d5819952c00d41b3019f5b23f3ef49c8878f7cf86617a06be35291861f
cifar10_train_43524,Train,deer,c8ed9d32530cbb2d71823c9735d8cedb71aa474e203023caf996cd8b6a40f1c0
cifar10_train_7024,Train,deer,92b44c3ec6a0f2324e2650bb31ebdd442796b09479b5bf13210803fb54d93ed3
cifar10_train_39143,Train,deer,1e7e5c264bc71ff8e0ee057f961f966653e5bcfbecdbb106e161992485a99f43
cifar10_train_45293,Train,deer,c73772478c5179ebd03fef6760f56cf4326ff870814e6deb903727a458a175b8
cifar10_train_39467,Train,deer,4e4b7dfcad29bd9729670b9bfe8941c010399601548b85d3e5dde608eee61f18
cifar10_train_44752,Train,deer,2bfd459707825623b5cda2c5e4212da1c7afcb7e3bcfc80523093a56cad515fb
cifar10_train_9147,Train,deer,493ec2ddc63e379c3a6e561793584048b356090ce5d7c7c74c94a9b9bbfb3be0
cifar10_train_12717,Train,deer,b14673393a3eca256e72377151ab0b78e03ff61cd005fbfcd59bfaa416122982
cifar10_train_6280,Train,deer,ac7f85c622ae0da3206a5e0b3b62dcc345f09f4aa34b8648201ea222ead95724
cifar10_train_21693,Train,deer,b77778d7b246a9b60a52a9d61306a221fb22aadc928b290cca1a177869fd8f34
cifar10_train_37577,Train,deer,aed9f52eb97107da79274cf4afd76d68bc445d84877caf1d98d0c7cbd3843077
cifar10_train_381,Train,deer,979abaed149de850db9368067b9645624787845e12d8ee14b672b296273f04a7
cifar10_train_31993,Train,deer,f653bc0c858c54fef130c672a0a4a40b4eec616179f38e0a76811f338e13047d
cifar10_train_48538,Train,deer,eee18ab4dd149a8d3d32bb2ed641d7219e0930ad776dc031f85c0989dd89fefa
cifar10_train_15307,Train,deer,b0f633d55f7d8fb11df7abd6c5567fc92cbd6829734d131b92d33fba9da1051d
cifar10_train_30206,Train,deer,0d17fa501856535a2ccb487004f5335f0c5cec27f139e97bb12e31382c9cd30a
cifar10_train_8913,Train,deer,3ab84d73c9da3f7b1a5ff7161aed84d83c3fd5accb60034669b6add7427f4d9d
cifar10_train_30815,Train,deer,86452806a1eac9ea819647506ea7204237e49c60b71a0f60026658cb8a0abd83
cifar10_train_5143,Train,deer,4bd2d96f67f6b69c6170365bbf0e49f02382f4cb477789d3b39be042aa69476e
cifar10_train_47205,Train,deer,60b7e94cd7127f28872e2fc53cd1699f71c14666d2aa51982554435f29b09a74
cifar10_train_41482,Train,deer,0878c2a0ea1605879d309c2d8bb7b7d5ba2fbdb294be4028fab723755268a926
cifar10_train_22491,Train,deer,7d18cdb8d1b5d45d11f3ad267d68683956153ba6ea846e8cf00fa70d4cd8e5cd
cifar10_train_31160,Train,deer,30437fa9f85f286af1a45b200a8b20302f9134384e54dce055d7a2796ec6d349
cifar10_train_42982,Train,deer,650dc9f6cee09e6ff4c93901b9879955194a5f08b3798c85912f62edb1cbe6d0
cifar10_train_1910,Train,deer,403cd4ea77a935c277f92f09c34518a108134e3285b99d01d12f05b800bb0d45
cifar10_train_14893,Train,deer,8c9ab03f3650560f68546754bc08df665ecfd56dd15cfcfc7d0ce088c58fe6de
cifar10_train_17286,Train,deer,1bef2da52e85483437bd244f914790b6f851b406c6123e15aa1055027d59f4f2
cifar10_train_3866,Train,deer,cdf4c029fd57ce3da4c01a9ca0069095a5599dc86b6f92e9e41f5f9f69c6b288
cifar10_train_43410,Train,deer,905eddfc7f590cccb60853801011768ffde18ffd619a192de561e238b538e9b4
cifar10_train_20363,Train,deer,1267ff7eddfc3e8fc73b2ce235f8d128bfdd90c2356213d9af1ece7417527548
cifar10_train_5815,Train,deer,55d4e03b62961105f99c005757400ceae81c03abae7f1ebd0632a5fa5c0c6f4b
cifar10_train_35517,Train,deer,2f9be417ebddd4e8c5f2e561338c095a804493b564dba0feeb31bc7f9c2191dc
cifar10_train_39977,Train,deer,1b1504eb545608f6327b556eed4d3e045089fe3ebaaa886fe121f401a39eafed
cifar10_train_43044,Train,deer,8b69d8f5a338226df07fc5ee405ec787ceb5a8bfbd53477dc301e25fe992787d
cifar10_train_27644,Train,deer,00c22608a2a1e29f609c054384268db1211df1bc58ed3c1e5e0ae017c8033397
cifar10_train_8271,Train,deer,fdd54ea710c9222786f34003a47c70297d16221fb2aa2f5089bdf00297c39e27
cifar10_train_49318,Train,deer,44bd96af9e081e167bc402eb26d21908bf19871e5c8495a336bf961e5713049b
cifar10_train_37963,Train,deer,1ec4c0d2d4dfe54ddb99760af478fab821a90cede880aeeeae8e4d3ec408f500
cifar10_train_15938,Train,deer,030aa12707f6577ec40de81fdbf577e936f611266d72222d6a461de8f2e08c48
cifar10_train_20101,Train,dog,6c5c52c961bac5722c4be23539787617d70ccf178ba25517488b34080511f873
cifar10_train_40662,Train,dog,f5efd3f5a827bc525106e7cc845c5c10d89ab5a96429c84ce6b6de0c3b6a0136
cifar10_train_16626,Train,dog,0b3980479c69f11dc113243f767f9322f0954ed27476ae6ffeeb6c2518f3bcbd
cifar10_train_42813,Train,dog,4e046654f0958e875465009a63c7b0225dffb3174a319bb98749c3f1847c424c
cifar10_train_33116,Train,dog,d88277b93db0c8d504268fbf6d14764036ccef62fe24fc18173cec156311402a
cifar10_train_32877,Train,dog,3b4ee626b2f95fd64f8bec992f32a62c95b552e4576385fb0269b2301487e242
cifar10_train_4920,Train,dog,ebfb3dcc8fec099399a6532c9d00e7b415e47ecde2e9250f6ff8423e3fb8f883
cifar10_train_18743,Train,dog,3a580f6ca427eb279bd48468f7856e3902eec40af13b9f25ef4d5f5659fd51ec
cifar10_train_46471,Train,dog,fd6d9aa9fc820ab21d8480cf5c1e3148b950df6f890741dfbd09e2dd4bad19af
cifar10_train_36912,Train,dog,7c1580dd88b6c2ee503c65780d55655326cfed18954d065e64ac70b50e873078
cifar10_train_12144,Train,dog,d91adce8f50c8fea9f375860802c7d3c7ebc935e4c18cf334fb7100d350046b2
cifar10_train_1998,Train,dog,5a652d16014503c476c76d851ae055c2c972611a2f5737a3618f6ed5e24cfc19
cifar10_train_25735,Train,dog,a2d9802dc905c3f4a59dfc86929465ea872080cbd0a66b66ab0d49cc4b8ee75f
cifar10_train_44441,Train,dog,0c675c4f7a3d854373e608612d7794c1b73249f36cdba869ba5932ae1f350667
cifar10_train_1419,Train,dog,8f31c69edcea24f803b6910fe6afbae100da5a50ce1ec347a6772872c2fb22bd
cifar10_train_9132,Train,dog,3b786d01fc27c7f6f64be6443eb03dbd6b08f505d8b28eb74164e11cdf726ba0
cifar10_train_43330,Train,dog,00a2f1ddc08bdcea39334f8a95c89a9456704ba947ebce3944b0ad7512f1c997
cifar10_train_44632,Train,dog,8d75051ef878e02a7ada79384e4d3429b7faafa7542288199c776a95258167c2
cifar10_train_22047,Train,dog,30d0b686b052dc77be9cc11f9aeaec6899c6579bdf4c2a0ab19ea5709efdecbd
cifar10_train_43801,Train,dog,640b05f060c46a3aae520e13bdcf127077c08ee3396674c60e86d5b8de87c5d7
cifar10_train_30698,Train,dog,bd2eb1aa5f53a8be5ff5827b2de1a5f41b4cddb9f91f4e82fd1f62d2088d26ac
cifar10_train_19540,Train,dog,742be1f9d2e3b678d5ac4ef4a47578e24af0094d142318ff5713d17d463c3158
cifar10_train_45511,Train,dog,eedd2537f3869eabd090dac22275653caa747d35350ad1a7369673c06a9e1607
cifar10_train_28440,Train,dog,74cae6d88ca9d0982ad57be00dee74a326ee1e04ffbe20f8ef222800e4e73b70
cifar10_train_15908,Train,dog,284f118e802eef5954f5ce761f2eacfb4e57e60a5331bc411d81f6fc426171f4
cifar10_train_11155,Train,dog,1279c45e6c12baeef2d75236d87db51d116ab1cf7979fc79c99f13971f1fd267
cifar10_train_5808,Train,dog,32a64b219b13121b291e9a05b62e9ca15f92b3d6f253970927e9ac043a544ad9
cifar10_train_34048,Train,dog,2ede4e83af9c2131d4b89708219ddd715b1172230d36f9a44ef4397032cb2d4f
cifar10_train_36830,Train,dog,9d84829f7633ecee3c7eb84092126b6c395496630283c6c026ec8b38eff41011
cifar10_train_43866,Train,dog,949e751416a1a361687c5dcd441a67a0513e5247e9afe9854b3bbd67a7e7161a
cifar10_train_11262,Train,dog,db1e7770208489da98f1da8e2aee8ebb8a07a61a77dc2086ad6ed00d728c5dac
cifar10_train_27903,Train,dog,f27bac2e01341b0a5c709fe9444e4a204532e7cda908cae994df57f14994a8ea
cifar10_train_36416,Train,dog,3fc77b97f33fce9c451b26283b618c1d3f40faf674c44a09ad13e71c9e433fe8
cifar10_train_36988,Train,dog,ab4934348ca710f3ecd9de69539b6729528b5849862f2c8d51b0d7ac8d3b3e39
cifar10_train_21678,Train,dog,1b304340df393efaa7a13cb239853d5719739825ebe9f16bd84c7688910a1162
cifar10_train_31149,Train,dog,8b2b0168d0250874d715dd4497a160a96c0bea47f01c2a355ae605c476994bb4
cifar10_train_37003,Train,dog,d0b57ba19e935e8cc6945af9cee964f6818895a4349df595975083e7478c863a
cifar10_train_26909,Train,dog,6f30afb2607548fc4ded58fc24ac756b5fa56fbb9da4c2d013560d2e990a9fa4
cifar10_train_21421,Train,dog,0bf9447480edb6735f7b5f293874ae9330fe5504319b50e5a52fe6313abc9646
cifar10_train_33853,Train,dog,322f7eb36a3fc4997dd6b01efa085338dcc5904b2d0c2b59d2dfb42f76e03107
cifar10_train_41992,Validation,cat,18ee66a6cda393b1ba7040cefa57f2b5804db64a37092aa21a8c1d1485fc84cc
cifar10_train_33337,Validation,cat,bf31be62bc549b5a307dfb469493d0692662fe153de6506b781f0ae51bebcdc0
cifar10_train_44142,Validation,cat,396b0ba70df1b8c6a5dd2cb92b081e10755eaa93c3651b197d381ff89bbdaff8
cifar10_train_33940,Validation,cat,465a1b483e43f00e1a6be45877529f1477ba4836786d7b45bf758fdf64b10c0b
cifar10_train_28121,Validation,cat,8d74750825f7f04c6c0e3c88b9275e886b1e5ad140a3fbad999e98fa8968ae7e
cifar10_train_29523,Validation,cat,396bed70da5bffd63e6f6aa06a6ce53ef6bd2d6be66be809cf2f0162d99b062d
cifar10_train_3084,Validation,cat,53df19ce934bce4109b4d3b2062f57591d6445e8b06a12ade29e02f554d52a08
cifar10_train_4025,Validation,cat,aeaf9a9f9f01ae5e59be51bca67990977d59b3e70007f213dfba40208e998593
cifar10_train_42258,Validation,cat,d0f12dd7768f929fa06ca1bd23a0666f06b7ef226af859df9d29724e5443d993
cifar10_train_47823,Validation,cat,ef3c057e30b919e91a4fabe459a9d29ddb60286cb08d187c901b8c7c70279119
cifar10_train_32230,Validation,cat,a84e1efc5223e4e6ea05761877350b4488b8740b7786d33bad3cb5f7b910a00b
cifar10_train_43254,Validation,cat,c1c3827f74257bfba5e568e80648046bfac5cb2d5bc2da3493a3e9fdd5fd2d59
cifar10_train_27967,Validation,cat,839470be6ad56eaea80a5bb500670e70bd7ea61c54c6e30e17c238dba8e0334f
cifar10_train_20632,Validation,cat,f6006800053fdec660c9e748cb1b1175ff6887b09867fc28dd21484755330abd
cifar10_train_10722,Validation,cat,b5667702624f48e263b8def41fb7365ad75151320cf0bc2c31ae22ecdda218f9
cifar10_train_14485,Validation,cat,fbb0c43b3a6b6c5ad317dd165baf7bbf9103d7093bc3db7131117bab60c543eb
cifar10_train_26906,Validation,cat,cf91eed9fb78d05d357ad830ed6f81060e46bb0408ea2bbc1eb7551045984be8
cifar10_train_49298,Validation,cat,0cd5d9db3cb074f8eb5e910a4521142650cc67c4e0a963d3b2a02db720faaf92
cifar10_train_869,Validation,cat,5c11ca9bb0cad17ec7cee8735c935d1a5fb096d15e0e989db93abd375ef660b6
cifar10_train_34779,Validation,cat,6f103c5384b8dcb925ff99b53e95950f4ea7ec0eacc897ea4ff8854efad90d0b
cifar10_train_8609,Validation,cat,0041d90a9509aae106564fd34861376e156fc660928e0cfa84b2113457579ab7
cifar10_train_42012,Validation,cat,b8aa964e797b8acb78c84fab7d6bf9deb9b3cd666cc8ba6138772aa64f6d6acc
cifar10_train_48443,Validation,cat,9d0602f4696515fbef905fe99c80c24043111b97003a6f159a2b64e658d45b63
cifar10_train_14368,Validation,cat,1c8f13cf01cecf20a00b7313363b32c11a57033db42d27230bd8c2ae7144dd4b
cifar10_train_41027,Validation,cat,31f3c9e1bcef2bb61d0f331f7c2b0a835bdd8ff46b88e6ba43203459dba0b2fc
cifar10_train_45850,Validation,cat,0ac1123adaf275e5197ab2ad6aa84e0c499c861cfaca4fb200ab3bce33b04b24
cifar10_train_16231,Validation,cat,ac7e657da81d61132db658a7c482fd3b371927abf3a3a7ac24eddf0f365c0dc9
cifar10_train_36604,Validation,cat,e259a2841179bed9e1c379bb9af1a9081dd7df791bfaff229aa6b6cf81e1150c
cifar10_train_36781,Validation,cat,bc02a1bc667a2145aaefe9db69617db2fc2284c568d04f9b34a375d49667d982
cifar10_train_14064,Validation,cat,bc9f4238299b11dc6b87ddef82259d1626c8bf041f1ed8dc09009819f290ead7
cifar10_train_2723,Validation,cat,2b6c6088d6d6f908e8591f2e1c5ead5b631c0788589ce2e073bf93ffe408ff48
cifar10_train_6070,Validation,cat,73adb26d6a596099250e1faf4e2f7f30f250649041003644d7e0ed36c7eaf524
cifar10_train_41569,Validation,cat,9611f47aca1a77d67458685bb70faaaf9245dd50ac0e319054493831a002cef8
cifar10_train_43339,Validation,cat,ddc8dafa9db0fac307f482c5baf95b3df85b88c1812e4aad78b8a2712596b14e
cifar10_train_32006,Validation,cat,28ac19320261eb6e9026a9a4c63fbe0096606ef5582e118164ee333ce108a78c
cifar10_train_24634,Validation,cat,c5d8780ea86523a7537cf6e2dbc6e65533cf1227b9c6165b2642a80d7f28c884
cifar10_train_21739,Validation,cat,57e57cca7b142955d4c13894184b833c662f949611a473080fdcb4bf805f4386
cifar10_train_11386,Validation,cat,cd767729d3e79dbf5ab8b1a12288717200f1e03fd52ba12e505ec21b202f5fa0
cifar10_train_32172,Validation,cat,f6404f93767eeb7c16c6bce099f36cca8994724e52c243b20f9c832cf77c652c
cifar10_train_12033,Validation,cat,955ddb281ce34b456fd1ddc983d1bf595e691b15a78231308eaf2227a1131bba
cifar10_train_47667,Validation,cat,88f81ebb82e301bb96c37361014399224e357036cad94fa27ee0cde8010c4037
cifar10_train_17024,Validation,cat,cf878d34c2aa5a667bd275333ba85afc092b009a70f2c81a057d6d2e5d84e5ff
cifar10_train_38229,Validation,cat,05d2115158b733775a74c1c6972f162f2b14e95bf0280b941a08a0f1039f4631
cifar10_train_40226,Validation,cat,656635552bcea9181e17a223fdc4c29057412654be05dc1f5d3c5d4b95a86541
cifar10_train_39313,Validation,cat,fdf1dad09abb604188091ecfef13096391f88ada50ecb6c5e3bcee5674e68385
cifar10_train_25257,Validation,cat,3d298aa4e6d9ef2610cc08ddbb200e15d132d0d0d7c40ba73b40c3156e3a5e08
cifar10_train_30389,Validation,cat,fb0b2116c3e0253c51287657c29f0c6b386f6d3abcc42fe80d713422f20d71eb
cifar10_train_25077,Validation,cat,f3444d74ae2d7be69d52652f7e8b9409e29a8ef4994fc31afd415cbb0425c6e8
cifar10_train_10809,Validation,cat,aa0ffcfdaac43a28b26de8c971d5f6a3cc20eed799963f325ade99c6317ae4b3
cifar10_train_16120,Validation,cat,4bd4ab8b76bc5e3e00e09f0c46744518b9612c8dd7bebcb4db7831e16f7f2316
cifar10_train_45732,Validation,cat,62ccf6c8b2dba88d2c9f5cc71d4b2f8cf94bd9ad7085419960a11a2b80522f0f
cifar10_train_45415,Validation,cat,5e846ac0f5b17275e8bbfd790ae01120e7221369e83b0138e19cbe2ab5c40c14
cifar10_train_18187,Validation,cat,9a791f55b6c5bcfd5a793f2e3bf9d33c623ba0a5d64673864c5dc86030e8a3a0
cifar10_train_2505,Validation,cat,bed4a332d25e2b535bae303e3acbefc2b965802685909cfbba3da0433900c26f
cifar10_train_22245,Validation,cat,65dde392467e97e88d67a7e6b17f4db52d8442f86e43f54310ed007f0989405c
cifar10_train_11234,Validation,cat,8c3450f6ddde6c6daa8c795112c6ee03d166df92d91390ec52092b5e54f1c7a1
cifar10_train_43767,Validation,cat,6928ad84f95f833af77af3913d0fb7477739f4a6b293478ebfe3a057c398730f
cifar10_train_18240,Validation,cat,aa51e36629e2d7abb5e05dfb566f783286fa4402cad590fcd5a1f142761744f6
cifar10_train_18356,Validation,cat,02f706c292c054d8823710fe25014aa4886ecaf852332394821b07267b1680f5
cifar10_train_30779,Validation,cat,407f4fe5fb5e316937ca394ad6e737ddb7a9c3a2176bfd8ee0720b006a3c9c78
cifar10_train_20624,Validation,cat,ebff5bfd992645abcbb477b72919d3d83c0b320df01b028754d8b4e614ad410d
cifar10_train_4672,Validation,cat,fdecb2e3764557e813877334a8aaabc580613ba83f857974ebb29fc67ded9807
cifar10_train_31022,Validation,cat,aa4b22f9aa1042552fc5ea91ab40fe8228e7908e76a1d76a17c023199a7011e0
cifar10_train_34204,Validation,cat,b462c3f677e4df75b69d82c96852f37c33211fcc74594e57f3ba38f3a156fa3c
cifar10_train_42997,Validation,cat,afcff6a84e2fc9676571db6c3068bc21d1fe4b5ea930f8ccf426b4cf8ea1488c
cifar10_train_11970,Validation,cat,ac50b2a149c8d3056023e76865e2da445533e8b71ddf647c8dbf8505120c4926
cifar10_train_7719,Validation,cat,b82850da08e8cdde81f81185080e0984e98bc6b3f3afe57dcd0cb43a0feea917
cifar10_train_29936,Validation,cat,2074de03b56c8639979a0b1124ebffaf29827c66a867ff923105d7f8d4ebb8cc
cifar10_train_27254,Validation,cat,a589be5d078b929924433946cd3a0129cdcc3e61cfcf280b7bc895db678392f3
cifar10_train_42585,Validation,cat,1d19022fe59354c0e3e78e40d042888d92a6ce0681e6809052560692673a2efb
cifar10_train_1041,Validation,cat,3a515a4d916518cc0c05e5e8b321be2f7158f3f9e6cd304c7c2b483f09cd49fd
cifar10_train_45082,Validation,cat,7954deddda31560b5274ac4ac8e4227c816fd2b803ae9c361dbec8ef2c16add8
cifar10_train_41540,Validation,cat,9a7fd20b8903136f9412e50573f79adc941cbf0de1447ff53f9fd4c07e964583
cifar10_train_34987,Validation,cat,27cb8dfce5df99cdc84718593c56deddcfdcf962cbdfc67f1be5fd1dddd4ad42
cifar10_train_5473,Validation,cat,2b9b76c37d644a000b7e084c2ba94b41a2cbd0fe4e0adbb29fd78e5158f905df
cifar10_train_44550,Validation,cat,d6131d837ecd02bc9a72da83f87a921d09526d99950a1e37bbcb61b2bd4c1c68
cifar10_train_31463,Validation,cat,2014a7270cf4e4e85ef5f00584b28a31cbf61a9420aad530371a9be679a18705
cifar10_train_19780,Validation,cat,981671520bdb722436b85df8bc931edebe5ac7ec4249103efdc8c4ee3a9104dc
cifar10_train_6607,Validation,cat,967cfec02b6489b0cc8708ff3cfd8412d154c1e27ddc7a8ca9b317da5ce4ee45
cifar10_train_48506,Validation,cat,f24ae86fbde646d63025a2260c42e8d7f139cfc6f447f2e2673395bc119d5863
cifar10_train_38699,Validation,cat,a141492a27e60e4c627f6c5cae161a558c0a51a7dbd79611c604b261fdd5ef4e
cifar10_train_26544,Validation,cat,944d0b604ea07c7afc89077ae7df974501ce391d1ef1dc2239ab3bdecbe094a3
cifar10_train_41719,Validation,cat,15191a0feae0fcf4f4a9d14e4a269afc69825c28451b30d0c560f535de7a1604
cifar10_train_34011,Validation,cat,185a4e40e353a5fe43d498483f2dbd4d3fe1f3f9800605f165f70951b96a7626
cifar10_train_22278,Validation,cat,5cabc70028db68b99799fcc0f344eb1daea39eebdd8c156f344751e6b659a541
cifar10_train_33717,Validation,cat,c5ce4a7f1fe482987dd83be0a5eb92bed07027aed8b9198bd7857828ad690b0d
cifar10_train_24443,Validation,cat,ce773f5074ea0325b6a82e1ef3008453c229b7997f2a5bc08afe49c32fb58892
cifar10_train_12882,Validation,cat,f15f3060bd3a8723b88206213002d734810c8cabc955119b072d2040b72f1688
cifar10_train_28574,Validation,cat,b636bc7ab306773ef1da86952dfc8375da18e0c40794cb4d36810a4d251f3522
cifar10_train_45568,Validation,cat,f1b05aa240bcab7880aa89b531ca436d66dd0338bd8f6e64b41b0d5ebb818936
cifar10_train_15876,Validation,cat,4e380091169f98bbb647a4e9c5cd3e28436a92e22dc2c5e9e143b19e58bc151d
cifar10_train_19872,Validation,cat,55769d399ec036ed12052c11a61c8b9f1655f6a95a530005322ea9d551f32014
cifar10_train_45752,Validation,cat,1a1f369cb4ec0d7c9d53a44852ecb6dcd34db1d8a699ad8aa5b81cf2e70b006d
cifar10_train_7142,Validation,cat,bcf16a8ffda6612b40337d9b55e6febd68513d7b830df98ae26265631f5a6a2b
cifar10_train_16339,Validation,cat,b7a755513b7e966ec6365b4779248332fd2c9ebeb9e03d81750618a0aafac3d7
cifar10_train_44808,Validation,cat,ca76bad6b65188e2df260b327f216e278ff42da9e05c40408bc903931bae332e
cifar10_train_8822,Validation,cat,edda63039ffe3885b1ba337492057dd3610cdd6babb9a9bc3b30c40c214ede2f
cifar10_train_1271,Validation,cat,490d432f40434ed31c249f5e73e8876c44346229631a3c20cdf56110eb0f4c0c
cifar10_train_8808,Validation,cat,e85b62d810cfdfe9e565f3339853372506606ae8649c97664b20a76c0a16c573
cifar10_train_6151,Validation,cat,20949817126826254a8229d79fb5eb6b70a07ab13a8dca5eda80c18e005240d3
cifar10_train_32451,Validation,cat,594b0603392dfcf193d503bff0826c1d537081443a3e39cd1467b4e7a11aebfc
cifar10_train_18833,Validation,cat,f7d8ec26bbc9d5175ecb14b92fb8f27498ca245c8a583e6cac0bf6d57ad6fc0b
cifar10_train_47804,Validation,cat,4b1e2c8f735630d457a0a8b6b1a7784163d06b2779e1ec4bcac495c08de58949
cifar10_train_31907,Validation,cat,deeebe0e5f87db42d3d35bc204662b3a3cfbf17d5677e544a6770189b77555bc
cifar10_train_28331,Validation,cat,6b35370cffdc233e2df6e3b15ffc8c53387a845bd182c66ce03e22c3d550dfaf
cifar10_train_24652,Validation,cat,a862195ce96145e0f056805bb5d1122f2d9900802539c53cc387aa9b6ab2b97d
cifar10_train_10814,Validation,cat,c06a93b3df3d15ac6ea95316ba0ae8a15c82e09d39ac91a9e5f21a7d087e5bdf
cifar10_train_49692,Validation,cat,381956baeaa287b687fe94f817ac0f6fd436602261498bac385222b8ddd0a02c
cifar10_train_45209,Validation,cat,edaca96513b8b2316aaecae2dbb319d5b9784e73edc9c9e10aab97d0fd4237e4
cifar10_train_1363,Validation,cat,7f63fb16b15f637bb3012f846ea25b528c59b5e466a2f287e59321efc03656e9
cifar10_train_4437,Validation,cat,c461744e342fec72568252191d63c3a6a293555b54907049e50d570e2d2ac2d3
cifar10_train_19422,Validation,cat,3d31a65dcb122d13b4375edbbd2cc906fe9df91bfdae0921ae92cc5e13b2b0ca
cifar10_train_13167,Validation,cat,1ab81a398c9c28feef914aff3be320f6861fd9211c25639eaa9c01afbb477784
cifar10_train_26336,Validation,cat,902ce6a07ef449a388c4886fa85f57051c13608a1150baabcef3b3f410ba8c87
cifar10_train_45909,Validation,cat,2a78b11648d209d08e95bc190211e8d832c6778a1835be662aefb7b0f7d6655b
